Maschine,Alarmident,Alarmtext,Alarmgruppe,Startzeit,Endzeit
LSL_FT1_1,160.1,NOT-AUS ausgelöst oder Steuerspannung fehlt!,Alarm,02.04.2018 00:00:00,09.04.2018 00:00:00
LSL_FT1_1,160.162,Unbekannter Alarm 162,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.164,Unbekannter Alarm 164,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.164,Unbekannter Alarm 164,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.166,Unbekannter Alarm 166,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.166,Unbekannter Alarm 166,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.167,Unbekannter Alarm 167,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.167,Unbekannter Alarm 167,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.168,Unbekannter Alarm 168,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.168,Unbekannter Alarm 168,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.169,Unbekannter Alarm 169,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.169,Unbekannter Alarm 169,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.170,Unbekannter Alarm 170,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.170,Unbekannter Alarm 170,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.178,Unbekannter Alarm 178,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.178,Unbekannter Alarm 178,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.180,Unbekannter Alarm 180,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.180,Unbekannter Alarm 180,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.182,Unbekannter Alarm 182,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.182,Unbekannter Alarm 182,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.183,Unbekannter Alarm 183,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.183,Unbekannter Alarm 183,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.184,Unbekannter Alarm 184,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.184,Unbekannter Alarm 184,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.185,Unbekannter Alarm 185,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.185,Unbekannter Alarm 185,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.186,Unbekannter Alarm 186,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.186,Unbekannter Alarm 186,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.194,Unbekannter Alarm 194,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.194,Unbekannter Alarm 194,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.196,Unbekannter Alarm 196,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.196,Unbekannter Alarm 196,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.198,Unbekannter Alarm 198,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.198,Unbekannter Alarm 198,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.199,Unbekannter Alarm 199,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:42
LSL_FT1_1,160.199,Unbekannter Alarm 199,Alarm,02.04.2018 22:33:31,02.04.2018 22:33:31
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 22:37:06,03.04.2018 22:37:16
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 22:19:47,03.04.2018 22:19:56
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 19:16:11,03.04.2018 19:16:23
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 19:15:48,03.04.2018 19:15:55
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 17:42:49,03.04.2018 17:42:56
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38:50,03.04.2018 16:39:04
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38:18,03.04.2018 16:38:20
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38:07,03.04.2018 16:38:07
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:37:57,03.04.2018 16:37:58
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:37:09,03.04.2018 16:37:10
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 14:54:45,03.04.2018 14:54:54
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 14:53:42,03.04.2018 14:53:50
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 07:50:15,03.04.2018 07:50:20
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 07:43:44,03.04.2018 07:43:48
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 03:27:55,03.04.2018 03:28:26
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 02:44:44,03.04.2018 02:45:02
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 02:35:41,03.04.2018 02:35:49
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,08.04.2018 22:02:26,09.04.2018 00:00:00
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,07.04.2018 06:12:04,07.04.2018 06:12:10
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,07.04.2018 06:11:19,07.04.2018 06:11:25
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,07.04.2018 04:05:05,07.04.2018 04:05:10
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 22:50:49,06.04.2018 22:50:57
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 22:40:10,06.04.2018 22:40:21
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 22:38:51,06.04.2018 22:38:59
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 21:58:14,06.04.2018 21:58:22
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 19:10:30,06.04.2018 19:11:02
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 19:09:28,06.04.2018 19:09:35
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 17:29:03,06.04.2018 17:31:37
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 16:24:16,06.04.2018 16:24:21
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 03:47:20,06.04.2018 03:47:32
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 03:47:08,06.04.2018 03:47:13
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 03:46:39,06.04.2018 03:46:45
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 03:44:46,06.04.2018 03:44:58
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 03:44:26,06.04.2018 03:44:40
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 02:12:03,06.04.2018 02:12:08
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,06.04.2018 00:54:20,06.04.2018 00:54:30
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,05.04.2018 22:43:25,05.04.2018 22:43:32
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,05.04.2018 22:33:54,05.04.2018 22:34:02
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,05.04.2018 19:31:28,05.04.2018 19:31:38
