Maschine,Alarmident,Alarmtext,Alarmgruppe,Startzeit,Endzeit,Alarmtext_Cleaned,Alarmtext_eng,TimeDays,TimeHrs,TimeMins,TimeDuration
LSL_FT1_1,160.1,NOT-AUS ausgelöst oder Steuerspannung fehlt!,Alarm,02.04.2018 00:00,09.04.2018 00:00,NOT-AUS ausgelöst oder Steuerspannung fehlt!,triggered an emergency stop or control voltage is missing!,7,0,0,7 days 0 hrs 0 mins 
LSL_FT1_1,160.162,Unbekannter Alarm 162,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 162,Unknown alarm 162,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.164,Unbekannter Alarm 164,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 164,Unknown alarm 164,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.164,Unbekannter Alarm 164,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 164,Unknown alarm 164,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.166,Unbekannter Alarm 166,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 166,Unknown alarm 166,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.166,Unbekannter Alarm 166,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 166,Unknown alarm 166,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.167,Unbekannter Alarm 167,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 167,Unknown alarm 167,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.167,Unbekannter Alarm 167,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 167,Unknown alarm 167,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.168,Unbekannter Alarm 168,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 168,Unknown alarm 168,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.168,Unbekannter Alarm 168,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 168,Unknown alarm 168,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.169,Unbekannter Alarm 169,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 169,Unknown alarm 169,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.169,Unbekannter Alarm 169,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 169,Unknown alarm 169,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.17,Unbekannter Alarm 170,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 170,Unknown alarm 170,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.17,Unbekannter Alarm 170,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 170,Unknown alarm 170,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.178,Unbekannter Alarm 178,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 178,Unknown alarm 178,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.178,Unbekannter Alarm 178,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 178,Unknown alarm 178,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.18,Unbekannter Alarm 180,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 180,Unknown alarm 180,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.18,Unbekannter Alarm 180,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 180,Unknown alarm 180,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.182,Unbekannter Alarm 182,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 182,Unknown alarm 182,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.182,Unbekannter Alarm 182,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 182,Unknown alarm 182,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.183,Unbekannter Alarm 183,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 183,Unknown alarm 183,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.183,Unbekannter Alarm 183,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 183,Unknown alarm 183,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.184,Unbekannter Alarm 184,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 184,Unknown alarm 184,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.184,Unbekannter Alarm 184,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 184,Unknown alarm 184,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.185,Unbekannter Alarm 185,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 185,Unknown alarm 185,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.185,Unbekannter Alarm 185,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 185,Unknown alarm 185,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.186,Unbekannter Alarm 186,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 186,Unknown alarm 186,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.186,Unbekannter Alarm 186,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 186,Unknown alarm 186,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.194,Unbekannter Alarm 194,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 194,Unknown alarm 194,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.194,Unbekannter Alarm 194,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 194,Unknown alarm 194,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.196,Unbekannter Alarm 196,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 196,Unknown alarm 196,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.196,Unbekannter Alarm 196,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 196,Unknown alarm 196,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.198,Unbekannter Alarm 198,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 198,Unknown alarm 198,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.198,Unbekannter Alarm 198,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 198,Unknown alarm 198,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.199,Unbekannter Alarm 199,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 199,Unknown alarm 199,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.199,Unbekannter Alarm 199,Alarm,02.04.2018 22:33,02.04.2018 22:33,Unbekannter Alarm 199,Unknown alarm 199,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 22:37,03.04.2018 22:37,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 22:19,03.04.2018 22:19,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 19:16,03.04.2018 19:16,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 19:15,03.04.2018 19:15,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 17:42,03.04.2018 17:42,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38,03.04.2018 16:39,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,1,0 days 0 hrs 1 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38,03.04.2018 16:38,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:38,03.04.2018 16:38,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:37,03.04.2018 16:37,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 16:37,03.04.2018 16:37,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 14:54,03.04.2018 14:54,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 14:53,03.04.2018 14:53,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 07:50,03.04.2018 07:50,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 07:43,03.04.2018 07:43,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 03:27,03.04.2018 03:28,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,1,0 days 0 hrs 1 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 02:44,03.04.2018 02:45,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,1,0 days 0 hrs 1 mins 
LSL_FT1_1,160.2,Sicherheitstüren nicht verriegelt!,Alarm,03.04.2018 02:35,03.04.2018 02:35,Sicherheitstüren nicht verriegelt!,Security doors unlocked!,0,0,0,0 days 0 hrs 0 mins 
